city,year,weekofyear,total_cases
dh,2018,20,1
dh,2018,21,0
dh,2018,22,2
dh,2018,23,3
dh,2018,24,3
dh,2018,25,5
dh,2018,26,2
dh,2018,27,1
dh,2018,28,2
dh,2018,29,0
dh,2018,30,0
dh,2018,31,3
dh,2018,32,5
dh,2018,33,5
dh,2018,34,7
dh,2018,35,5
dh,2018,36,2
dh,2018,37,2
dh,2018,38,2
dh,2018,39,0
dh,2018,40,2
dh,2018,41,1
dh,2018,42,1
dh,2018,43,2
dh,2018,44,2
dh,2018,45,3
dh,2018,46,9
dh,2018,47,5
dh,2018,48,5
dh,2018,49,4
dh,2018,50,4
dh,2018,51,1
dh,2018,52,0
dh,2019,53,0
dh,2019,1,10
dh,2019,2,9
dh,2019,3,17
dh,2019,4,16
dh,2019,5,11
dh,2019,6,12
dh,2019,7,19
dh,2019,8,15
dh,2019,9,12
dh,2019,10,12
dh,2019,11,16
dh,2019,12,9
dh,2019,13,4
dh,2019,14,9
dh,2019,15,6
dh,2019,16,8
dh,2019,17,4
dh,2019,18,2
dh,2019,19,7
dh,2019,20,6
dh,2019,21,5
dh,2019,22,8
dh,2019,23,1
dh,2019,24,1
dh,2019,25,4
